,Topic,Article,Claim
1054,trade aid,Trade and development,Trade is a key factor in economic development
1055,trade aid,Trade and development,A successful use of trade can boost a country's development
1056,trade aid,Trade and development,opening up markets to international trade may leave local producers swamped by more competitive foreign producers
1057,trade aid,Trade and development,"trade, development, and poverty reduction are intimately linked"
1058,trade aid,Trade and development,trade and growth are strongly linked
1059,trade aid,Trade and development,export-led growth has been a key part of many countries’ successful development strategies
1060,trade aid,Trade and development,liberalization when institutions and the economy are not strong enough to face risks and opportunities can be harmful
1061,trade aid,Trade and development,trade-led growth is pro-poor
1062,trade aid,William Easterly,foreign aid to many third world countries has failed to produce sustainable growth
1063,trade aid,Poverty trap,people continue to die at a high rate due in large part to lack of sufficient aid
1064,trade aid,Poverty trap,sufficient foreign aid can make up for the lack of capital in poor countries
1065,trade aid,Poverty trap,"If the foreign assistance is substantial enough, and lasts long enough, the capital stock rises sufficiently to lift households above subsistence"
1066,trade aid,Poverty reduction,helps growth
1067,trade aid,Poverty reduction,is essential in providing better lives
1068,trade aid,Poverty reduction,trade rules are often unfair as they block access to richer nations’ markets and ban poorer nations from supporting their industries
1069,trade aid,Poverty reduction,Western monetary aid often only serves to increase poverty and social inequality
1070,trade aid,Poverty reduction,foreign aid is seen to be serving the interests of the donor more than the recipient
1071,trade aid,Poverty reduction,some of the foreign aid is stolen by corrupt governments and officials
1072,trade aid,Poverty reduction,higher aid levels erode the quality of governance
1073,trade aid,Poverty reduction,aid is not spread properly
1074,trade aid,Free trade debate,free trade will make society more prosperous
1075,trade aid,Free trade debate,"Trade also allows for better quality produce and competitiveness between nations, effectively raising the living standards of those nations"
1076,trade aid,Free trade debate,increased trade is the best way to relieve extreme poverty throughout the world
1077,trade aid,Free trade debate,free trade gives optimal economic advantages
1078,trade aid,Free trade debate,Free trade is generally considered to achieve an overall increase in utility in a society
1079,trade aid,Free trade debate,Individuals can be made worse off by an opening of trade
1080,trade aid,James Shikwati,aid towards Africa does more harm than good
1081,trade aid,Poverty in Africa,foreign aid may not even be helpful in the long run to many African nations
1082,trade aid,Protectionism,free trade helps workers in developing countries
1083,housewives should be paid for their work ,Care work,Care work is essential to human well-being
1084,housewives should be paid for their work ,Care work,care work is directly related to the health of a society as well as to the economic development of that society
1085,housewives should be paid for their work ,Care work,"the household sector is a wealth spender, and not a wealth creator"
1086,housewives should be paid for their work ,Care work,the household sector plays a very important role in wealth creation
1087,housewives should be paid for their work ,Care work,women's jobs in the home were not part of any market
1088,housewives should be paid for their work ,Care work,the household does not form wealth
1089,housewives should be paid for their work ,Care work,the quality of care may decrease in response to the call for profit-making and efficiency
1090,housewives should be paid for their work ,Care work,care work should not be done for pay because pay will undermine the intrinsic motivations for this work
1091,housewives should be paid for their work ,Care work,care work should be better compensated by the market
1092,housewives should be paid for their work ,Feminist economics,care work as central to economic development and human well-being
1093,housewives should be paid for their work ,Feminist economics,unpaid domestic work is just as valuable as paid work
1094,housewives should be paid for their work ,Feminist economics,domestic labor is work
1095,intellectual property rights ,Intellectual property,intellectual property is desirable because it encourages innovation
1096,intellectual property rights ,Intellectual property,creators will not have sufficient incentive to invent unless they are legally entitled to capture the full social value of their inventions
1097,intellectual property rights ,Intellectual property,intellectual property rights are essential to maintaining economic growth
1098,intellectual property rights ,Intellectual property,give statutory expression to the moral and economic rights of creators in their creations
1099,intellectual property rights ,Intellectual property,"promote, as a deliberate act of Government policy, creativity"
1100,intellectual property rights ,Intellectual property,encourage fair trading which would contribute to economic and social development
1101,intellectual property rights ,Intellectual property,effective enforcement of intellectual property rights is critical to sustaining economic growth
1102,intellectual property rights ,Intellectual property,a positive correlation between the strengthening of the IP system and subsequent economic growth
1103,intellectual property rights ,Intellectual property,IP can be a disincentive to innovation
1104,intellectual property rights ,Intellectual property,they promote public welfare
1105,intellectual property rights ,Intellectual property,To violate intellectual property is therefore no different morally than violating other property rights
1106,intellectual property rights ,Intellectual property,allowing property rights in ideas and information creates artificial scarcity
1107,intellectual property rights ,Intellectual property,infringes on the right to own tangible property
1108,intellectual property rights ,Societal views on patents,patents were obstructing research
1109,intellectual property rights ,Societal views on patents,patents as state-granted monopolies inconsistent with free trade
1110,intellectual property rights ,Societal views on patents,they may hinder innovation
1111,intellectual property rights ,Societal views on patents,"give rise to ""troll"" entities"
1112,intellectual property rights ,Societal views on patents,"intellectual property rights may become so fragmented that, effectively, no one can take advantage of them"
1113,intellectual property rights ,Libertarian perspectives on intellectual property,Patents and copyrights are the legal implementation of the base of all property rights: a man's right to the product of his mind
1114,intellectual property rights ,Libertarian perspectives on intellectual property,intellectual property laws can actually hinder innovation
1115,intellectual property rights ,Libertarian perspectives on intellectual property,they divert resources from research and development to patent filing and lawsuits
1116,intellectual property rights ,Libertarian perspectives on intellectual property,are not a legitimate subject of property rights
1117,intellectual property rights ,Libertarian perspectives on intellectual property,the only way that intellectual property rights can be implemented is by limiting others' physical property rights
1118,intellectual property rights ,Libertarian perspectives on intellectual property,"prohibiting people from using, reproducing, and trading copyrighted material is an infringement of freedom of speech"
1119,intellectual property rights ,Libertarian perspectives on intellectual property,one cannot own information without owning other people
1120,intellectual property rights ,Libertarian perspectives on intellectual property,the patent monopoly..consists in protecting inventors..against competition for a period long enough to extort from the people a reward enormously in excess of the labor measure of their services
1121,intellectual property rights ,Libertarian perspectives on intellectual property,have hindered the ability of consumers to buy the products they want
1122,intellectual property rights ,Copyright,copyright law protects corporate interests while criminalizing legitimate use
1123,intellectual property rights ,Copyright,the law is fair and just
1124,intellectual property rights ,Copyright,patent and copyright laws support in fundamental and thoroughgoing ways the expansion of the range of creative human activities that can be commodified
1125,intellectual property rights ,Anti-copyright,granting developers temporary monopolies over their works encourages further development and creativity
1126,intellectual property rights ,Anti-copyright,copyright has never been of net benefit to society
1127,intellectual property rights ,Anti-copyright,serves to enrich a few at the expense of creativity
1128,intellectual property rights ,Anti-copyright,"copyright is invalid because, unlike physical property, intellectual property is not scarce"
1129,intellectual property rights ,Anti-copyright,is obsolete
1130,intellectual property rights ,Anti-copyright,the cost of trying to enforce it is unreasonable
1131,intellectual property rights ,Anti-copyright,"knowledge should be ""shared in solidarity"
1132,intellectual property rights ,Anti-copyright,copyright law as preventing or slowing human progress
1133,intellectual property rights ,Anti-copyright,"without an intellectual property rights regime, authors would have no incentive to further create"
1134,intellectual property rights ,Anti-copyright,artists cannot produce new works without an economic incentive
1135,intellectual property rights ,Anti-copyright,copyright drives the economy by compelling creativity
1136,intellectual property rights ,Anti-copyright,is a fundamental right for both creators and consumers
1137,intellectual property rights ,Anti-copyright,all proposed alternatives to copyright protection do not allow for viable business models
1138,intellectual property rights ,Anti-copyright,content creators would not have incentive to produce their products if they cannot be guaranteed payment
1139,intellectual property rights ,Philosophy of copyright,intellectual property as a necessary way of incentivising the creation of new creative works
1140,intellectual property rights ,Philosophy of copyright,"in the absence of intellectual property protections such as copyright and patents, various types of intangible assets would be under-produced"
1141,intellectual property rights ,Philosophy of copyright,"copyright remains the fundamental way by which authors, sculptors, artists, musicians and others can fund the creation of new works"
1142,intellectual property rights ,Philosophy of copyright,"without a significant period of legal protection of their future income, many valuable books and artworks would not be created"
1143,intellectual property rights ,Philosophy of copyright,"Without a feasible way to recoup investments of creative time through copyright, there would be little economic incentive to produce"
1144,intellectual property rights ,Philosophy of copyright,it has been largely successful in financing the creation and distribution of a wide variety of works
1145,intellectual property rights ,Philosophy of copyright,the very concept of copyright has never benefited society
1146,intellectual property rights ,Philosophy of copyright,has always served simply to enrich a few at the expense of creativity
1147,intellectual property rights ,Philosophy of copyright,the current (international) copyright system undermines its own goal
1148,intellectual property rights ,Philosophy of copyright,quality works can be created even in the absence of a copyright-enforced monopoly rent
1149,intellectual property rights ,Philosophy of copyright,Copyright can also be used to stifle political criticism
1150,intellectual property rights ,Philosophy of copyright,has made and continues to make a valuable even essential contribution to the creation and dissemination of works
1151,intellectual property rights ,Patent,Patents provide incentives for economically efficient research and development
1152,intellectual property rights ,Patent,patents facilitate and encourage disclosure of innovations into the public domain for the common good
1153,intellectual property rights ,Patent,"If inventors did not have the legal protection of patents, in many cases, they would prefer or tend to keep their inventions secret"
1154,intellectual property rights ,Patent,Awarding patents generally makes the details of new technology publicly available
1155,intellectual property rights ,Patent,"when a patent's term has expired, the public record ensures that the patentee's idea is not lost to humanity"
1156,intellectual property rights ,Patent,patents have been criticized as inconsistent with free trade
1157,intellectual property rights ,Property,property rights encourage their holders to develop the property
1158,intellectual property rights ,Property,property rights encourage their holders to develop their property or generate wealth
1159,intellectual property rights ,Property,interference by the state over the centuries in property ownership has had dire consequences for justice as well as for economic productivity
1160,intellectual property rights ,Missionary Church of Kopimism,all information should be freely distributed and unrestricted
1161,parents to genetically screen foetuses for heritable diseases ,Preimplantation genetic diagnosis,it involves the destruction of human life
1162,parents to genetically screen foetuses for heritable diseases ,Prenatal diagnosis,Having this information in advance of the birth means that healthcare staff as well as parents can better prepare themselves for the delivery of a child with a health problem
1163,parents to genetically screen foetuses for heritable diseases ,Prenatal diagnosis,may give the option of fetal surgery during pregnancy
1164,parents to genetically screen foetuses for heritable diseases ,Prenatal diagnosis,Early diagnosis gives the parents time to research and discuss post-natal treatment and care
1165,parents to genetically screen foetuses for heritable diseases ,Genetic testing,The procedures used for prenatal testing carry a small but real risk of losing the pregnancy
1166,parents to genetically screen foetuses for heritable diseases ,Genetic testing,There is no stronger antidote for fear than information
1167,parents to genetically screen foetuses for heritable diseases ,Human genetic engineering,every child has the right to be born free from preventable diseases
1168,parents to genetically screen foetuses for heritable diseases ,In vitro fertilisation,PGS can reduce the risk of multiple pregnancies because fewer embryos are needed for implantation
1169,parents to genetically screen foetuses for heritable diseases ,In vitro fertilisation,intentionally culling out blind or deaf embryos might prevent considerable future suffering
1170,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,"Compared to the environmental impact of traditional energy sources, the environmental impact of wind power is relatively minor"
1171,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,emits no air pollution
1172,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,Wind power consumes no fuel and no water
1173,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,Producing electricity from wind reduces the consumption of fossil fuels and therefore leads to emissions savings
1174,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,Wind turbines do not consume fuel or produce pollution during normal operation
1175,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,They have a smaller footprint than other forms of energy generation
1176,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,wind farms will damage tourism
1177,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,may cause physiological problems
1178,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,people living near wind power facilities are increasingly complaining of health problems
1179,wind power should be a primary focus of future energy supply ,Environmental impact of wind power,wind farms causing annoyance and ill health in people
1180,wind power should be a primary focus of future energy supply ,Wind power in Austria,Wind power is a product with no hidden costs and economically the most inexpensive form of energy production
1181,wind power should be a primary focus of future energy supply ,Wind power in Austria,The use of wind power reduces the necessity for importing electricity from abroad
1182,wind power should be a primary focus of future energy supply ,Wind power in Austria,Production of wind power does not release any pollutants
1183,wind power should be a primary focus of future energy supply ,Wind power in Austria,wind power does not pose a threat to people or the environment
1184,wind power should be a primary focus of future energy supply ,Cost of electricity by source,Wind power has poor capacity contribution
1185,wind power should be a primary focus of future energy supply ,Energy development,Renewable energy is sustainable in its production
1186,wind power should be a primary focus of future energy supply ,Wind power in Scotland,The production of zero carbon electricity at the wind farm is expected to reduce emissions of carbon dioxide
1187,wind power should be a primary focus of future energy supply ,Wind power in Scotland,"wind power ""cannot be relied upon to provide significant levels of power"
1188,wind power should be a primary focus of future energy supply ,Wind power in Scotland,wind power as the cleanest source of renewable energy
1189,wind power should be a primary focus of future energy supply ,Wind power in Scotland,wind farms are necessary to meet current and future energy needs
1190,wind power should be a primary focus of future energy supply ,Wind power grid integration,Wind power is an intermittent energy source
1191,wind power should be a primary focus of future energy supply ,Wind power grid integration,integrating wind energy into the utility grid can be problematic
1192,wind power should be a primary focus of future energy supply ,Wind power grid integration,Electricity generated from wind power can be highly variable
1193,wind power should be a primary focus of future energy supply ,Wind power grid integration,predictability of wind plant output remains low
1194,wind power should be a primary focus of future energy supply ,Wind power grid integration,the non-dispatchable nature of wind energy production can raise costs
1195,wind power should be a primary focus of future energy supply ,Wind power grid integration,peak wind speeds may not coincide with peak demand for electrical power
1196,wind power should be a primary focus of future energy supply ,Environmental impact of the energy industry,the environmental effects of wind power are relatively minor
1197,wind power should be a primary focus of future energy supply ,Environmental impact of the energy industry,Wind power consumes no fuel
1198,wind power should be a primary focus of future energy supply ,Environmental impact of the energy industry,emits no air pollution
1199,endangered species should be protected ,Biodiversity,Earth's surviving biodiversity provides resources for increasing the range of food and other products suitable for human use
1200,endangered species should be protected ,Biodiversity,"Biodiversity is also known to have an important role in reducing disaster risk, and in post-disaster relief"
1201,endangered species should be protected ,Biodiversity,Biodiversity provides critical support for drug discovery and the availability of medicinal resources
1202,endangered species should be protected ,Biodiversity,Biodiversity has been critical to advances throughout the field of bionics
1203,endangered species should be protected ,Biodiversity,Biodiversity is also important to the security of resources
1204,endangered species should be protected ,Biodiversity,Biodiversity enriches leisure activities
1205,endangered species should be protected ,Biodiversity,biodiversity has intrinsic aesthetic and spiritual value to mankind
1206,endangered species should be protected ,Biodiversity,Biodiversity supports many ecosystem services
1207,endangered species should be protected ,Biodiversity,Biodiversity is directly involved in water purification
1208,endangered species should be protected ,Biodiversity,Loss of biodiversity results in the loss of natural capital that supplies ecosystem goods and services
1209,endangered species should be protected ,Extinction,"As long as species have been evolving, species have been going extinct"
1210,endangered species should be protected ,Extinction,the loss of native species as a loss to ecotourism
1211,endangered species should be protected ,Extinction,People who live close to nature can be dependent on the survival of all the species in their environment
1212,endangered species should be protected ,Extinction,The very fact that a species is near extinction implies that its final demise will have negligible impact
1213,endangered species should be protected ,Extinction,"since species become extinct ""all the time"" the disappearance of a few more will not destroy the ecosystem"
1214,endangered species should be protected ,Convention on Biological Diversity,is an integral part of the development process
1215,endangered species should be protected ,Convention on Biological Diversity,there is a threat of significant reduction or loss of biological diversity
1216,endangered species should be protected ,Convention on Biological Diversity,"conservation will bring us significant environmental, economic and social benefits in return"
1217,endangered species should be protected ,Conservation in Australia,wealth of biodiversity is important for future generations
1218,endangered species should be protected ,Conservation in Australia,Conservation is vital for future study
1219,endangered species should be protected ,Conservation in Australia,biological richness is an unmeasurable aesthetic that may be developed into commercial recreational attractions
1220,endangered species should be protected ,Conservation in Australia,Research on natural processes can only occur if habitat is preserved and organisms continue to thrive
1221,endangered species should be protected ,Environmental ethics,it has extrinsic value – instrumental to the welfare of human beings
1222,endangered species should be protected ,Conservation biology,rapid rates of biodiversity loss threatens the sustained well-being of humanity
1223,endangered species should be protected ,Conservation biology,species are irreplaceable components of the global ecosystem
1224,endangered species should be protected ,Economics of biodiversity,biodiversity is inherently valuable
1225,endangered species should be protected ,Economics of biodiversity,Diverse ecosystems are typically more productive than non-diverse ones
1226,endangered species should be protected ,Economics of biodiversity,human economic productivity is largely reliant on Earth's ecosystems
1227,endangered species should be protected ,Economics of biodiversity,Biodiversity is a source of economic wealth
1228,endangered species should be protected ,Deep ecology,"like humanity, the living environment as a whole has the same right to live and flourish"
1229,endangered species should be protected ,Deep ecology,the right of all forms [of life] to live is a universal right
1230,endangered species should be protected ,Deep ecology,Human life is dependent on the harmonious balance of interdependent relationships between organisms
1231,endangered species should be protected ,Deep ecology,the world does not exist as a resource to be freely exploited by humans
1232,endangered species should be protected ,Deep ecology,All life has intrinsic value
1233,endangered species should be protected ,Biocentrism (ethics),nature does not exist simply to be used or consumed by humans
1234,endangered species should be protected ,Biocentrism (ethics),"any actions which negatively affect the living systems of which we are a part, adversely affect us as well"
1235,endangered species should be protected ,Biocentrism (ethics),all species have inherent value
1236,endangered species should be protected ,Biocentrism (ethics),each organism has a purpose and a reason for being
1237,endangered species should be protected ,Melbourne Principles,Nature is more than a commodity for the benefit of humans
1238,endangered species should be protected ,Melbourne Principles,"They warrant our respect, whether or not they are of immediate benefit to us"
1239,endangered species should be protected ,Melbourne Principles,we have a responsibility to act as custodians for nature
1240,endangered species should be protected ,Ecological effects of biodiversity,More biologically diverse communities appear to be more productive
1241,endangered species should be protected ,Ecological effects of biodiversity,they appear to be more stable
1242,endangered species should be protected ,Ecological effects of biodiversity,there are direct economic consequences of losing diversity in certain ecosystems and in the world as a whole
1243,endangered species should be protected ,Ecological effects of biodiversity,Losing species means losing potential foods
1244,endangered species should be protected ,Ecological effects of biodiversity,diverse ecosystems actually resist invasion and disease better than their less diverse equivalents
1245,endangered species should be protected ,Habitat destruction,"When biodiversity is lost, the environment loses many species that provide valuable and unique roles to the ecosystem"
1246,endangered species should be protected ,Habitat destruction,The environment and all its inhabitants rely on biodiversity
1247,endangered species should be protected ,Habitat destruction,humans are losing animals that could have served as biological control agents
1248,endangered species should be protected ,Habitat conservation,The cost of repairing damaged ecosystems is considered to be much higher than the cost of conserving natural ecosystems
1249,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Austerity,government austerity can result in economic expansion
1250,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Austerity,expansion from austerity is very limited
1251,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Austerity,they tend to have an adverse impact on the poorest segments of the population
1252,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Austerity,austerity measures tend to depress economic growth
1253,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Austerity,austerity can engender deflation
1254,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Anti-austerity protests,they tend to have an impact on the poorest segments of the population
1255,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Anti-austerity protests,"rather than 'punish' the banks and others truly responsible for the crisis, the government is instead 'punishing' regular people for the 'crimes' of others"
1256,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Anti-austerity protests,austerity measures tend to be counterproductive
1257,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Anti-austerity protests,austerity simply depresses economic growth
1258,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Anti-austerity protests,austerity can engender deflation which inflates existing debt
1259,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,deficit spending is always bad policy
1260,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,deficit spending is necessary
1261,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,government should always run a balanced budget
1262,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,deficit spending is always bad policy
1263,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,one should have money before one spends it
1264,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,deficit spending is necessary
1265,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,deficit spending is logically necessary
1266,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,deficit spending permits the private sector to accumulate net worth
1267,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,deficit spending may create inflation
1268,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Deficit spending,an increase in government spending will lead to inflation
1269,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Welfare state,the state should provide citizens their demands in order to achieve people's well-being
1270,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Greek government-debt crisis,social disruption could have a significantly negative impact on investment and growth in the longer term
1271,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Greek government-debt crisis,policy makers consistently underestimated the disastrous effects of rigid spending cuts on economic growth
1272,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Greek government-debt crisis,short-term sacrifices necessary for long-term success
1273,Europe should weaken its austerity measures to guarantee its citizens greater social support ,Greek government-debt crisis,"Governments borrowed too much, now they're paying the price, and fiscal austerity is the only answer"
1274,Google shouldn't censor its search results in China ,Google China,it could play a role more useful to the cause of free speech by participating in China's IT industry than by refusing to comply
1275,Google shouldn't censor its search results in China ,Google China,removing search results is inconsistent with Google's mission
1276,Google shouldn't censor its search results in China ,Google China,"Google China is a flagrant violation of the Google motto, ""Don't be evil"
1277,Google shouldn't censor its search results in China ,Google China,implementing monitoring according to a country's national context is what any government has to do
1278,Google shouldn't censor its search results in China ,Internet censorship in the People's Republic of China,continuing to provide Internet services is more beneficial to the Chinese
1279,Google shouldn't censor its search results in China ,Internet censorship,the internet should never be regulated by any level of government anywhere
1280,Google shouldn't censor its search results in China ,Internet censorship,access to the Internet was a fundamental right
1281,Google shouldn't censor its search results in China ,Internet censorship,access to the Internet was a fundamental right of all people
1282,Google shouldn't censor its search results in China ,Internet censorship,Google may temporarily or permanently remove sites from its index and search results if it believes it is obligated to do so by law
1283,Google shouldn't censor its search results in China ,Criticism of Google,"Google's stated mission is ""to organize the world's information and make it universally accessible"
1284,Google shouldn't censor its search results in China ,Criticism of Google,some censorship is necessary in order to keep the Chinese government from blocking Google entirely
1285,Google shouldn't censor its search results in China ,Criticism of Google,Google for assisting the Chinese government in repressing its own citizens
1286,Google shouldn't censor its search results in China ,Public Pledge on Self-Discipline for the Chinese Internet Industry,in order to do business in China they must comply with local laws and regulations
1287,Google shouldn't censor its search results in China ,Public Pledge on Self-Discipline for the Chinese Internet Industry,access to censored information is better than no information at all
1288,Google shouldn't censor its search results in China ,Public Pledge on Self-Discipline for the Chinese Internet Industry,their presence in China will support economic development leading to political change
1289,Google shouldn't censor its search results in China ,Public Pledge on Self-Discipline for the Chinese Internet Industry,their activities are facilitating and sanctioning government censorship rather than challenging it
1290,Google shouldn't censor its search results in China ,Corporate social responsibility,corporations are only responsible to their shareholders and not to society as a whole
1291,Google shouldn't censor its search results in China ,Corporate social responsibility,corporations should obey the laws of the countries within which they work
1292,limit the right to bear arms ,Gun control,there were significant correlations between gun ownership and gun-related suicide and homicide rates
1293,limit the right to bear arms ,Gun control,the access to guns leads to more violence
1294,limit the right to bear arms ,Gun control,"laws which make it easier for law-abiding citizens to get a permit to carry a gun in public places, cause reductions in crime"
1295,limit the right to bear arms ,Gun control,allowing law-abiding citizens to carry concealed firearms deters crime
1296,limit the right to bear arms ,Gun control,gun laws generally had no significant effect on violent crime rates or suicide rates
1297,limit the right to bear arms ,Gun control,laws that forbid the carrying of arms .. disarm only those who are neither inclined nor determined to commit crimes
1298,limit the right to bear arms ,Gun control,gun ownership as a civil right
1299,limit the right to bear arms ,Gun control,gun possession is a civil right
1300,limit the right to bear arms ,Gun control,gun control works
1301,limit the right to bear arms ,Gun politics,there were substantial correlations between gun ownership and gun-related suicide and homicide rates
1302,limit the right to bear arms ,Gun politics,easier access to guns lead to more violence
1303,limit the right to bear arms ,Gun politics,"laws which make it easier for law-abiding citizens to get a permit to carry a gun in public places, cause reductions in crime"
1304,limit the right to bear arms ,Gun politics,allowing law-abiding citizens to carry concealed firearms deters crime
1305,limit the right to bear arms ,Gun politics,gun laws generally had no significant effect on violent crime rates or suicide rates
1306,limit the right to bear arms ,Gun politics,laws that forbid the carrying of arms .. disarm only those who are neither inclined nor determined to commit crimes
1307,limit the right to bear arms ,Gun politics,they serve rather to encourage than to prevent homicides
1308,limit the right to bear arms ,Gun politics,gun possession is a civil right
1309,limit the right to bear arms ,Gun politics,an armed citizens' militia can help deter crime and tyranny
1310,limit the right to bear arms ,Political arguments of gun politics in the United States,gun possession is a fundamental civil right
1311,limit the right to bear arms ,Political arguments of gun politics in the United States,"the people have a right to ""keep and bear arms"" as a protection from the government"
1312,limit the right to bear arms ,Political arguments of gun politics in the United States,"the right to bear arms is necessary for the citizens to protect themselves from the ""tyranny in government"
1313,limit the right to bear arms ,Political arguments of gun politics in the United States,an armed citizenry is the population's last line of defense against tyranny by their own government
1314,limit the right to bear arms ,Political arguments of gun politics in the United States,a well-armed citizenry prevents crime
1315,limit the right to bear arms ,Political arguments of gun politics in the United States,making civilian ownership of firearms illegal would increase the crime rate
1316,limit the right to bear arms ,Political arguments of gun politics in the United States,increased gun ownership leads to higher levels of crime
1317,limit the right to bear arms ,Political arguments of gun politics in the United States,criminals ignore gun control laws
1318,limit the right to bear arms ,Political arguments of gun politics in the United States,are effectively deterred by armed intended victims
1319,limit the right to bear arms ,Political arguments of gun politics in the United States,people who keep a gun at home increase their risk of homicide
1320,limit the right to bear arms ,Political arguments of gun politics in the United States,"allowing law-abiding citizens to carry concealed firearms, deters crime"
1321,limit the right to bear arms ,Political arguments of gun politics in the United States,The possibility of getting shot by an armed victim is a substantial deterrent to crime
1322,limit the right to bear arms ,National Rifle Association,gun ownership is a civil liberty
1323,limit the right to bear arms ,National Rifle Association,citizens need to arm themselves to safeguard political liberties against threats by the government
1324,limit the right to bear arms ,Second Amendment to the United States Constitution,people have a right to bear arms for the defence of themselves and the state
1325,limit the right to bear arms ,Gun violence in the United States,the likelihood that a death will result is significantly increased when either the victim or the attacker has a firearm
1326,limit the right to bear arms ,Gun violence in the United States,"if guns were less available, criminals may likely commit the crime anyway"
1327,limit the right to bear arms ,Gun violence in the United States,criminal use of guns is far more common than self-defense use of guns
1328,limit the right to bear arms ,Gun violence in the United States,more guns can reduce crime
1329,limit the right to bear arms ,Gun violence in the United States,limiting access to guns by law-abiding people makes them more vulnerable to armed criminals
1330,limit the right to bear arms ,Gun violence in the United States,"potential crime victims might be carrying firearms, and thus serve as a deterrent against crime"
1331,limit the right to bear arms ,Gun culture,citizens should not be prevented from having guns unless they have done something to show that they are not to be trusted with them
1332,limit the right to bear arms ,Gun culture,guns provide some level of protection against criminality and tyranny
1333,limit the right to bear arms ,Gun culture,it is good to have a gun around the house for self-protection
1334,limit the right to bear arms ,Gun culture,widespread gun ownership is protection against tyranny
1335,limit the right to bear arms ,Gun politics in the United States,most guns are in the hands of people who are unlikely to misuse them
1336,limit the right to bear arms ,Gun politics in the United States,the right to bear arms is absolute and unqualified
1337,limit the right to bear arms ,Gun politics in the United States,Americans have an individual right described in the Second Amendment to possess firearms
1338,limit the right to bear arms ,Gun politics in Brazil,no rights should ever be allowed to be taken away by the government
1339,limit the right to bear arms ,Gun politics in Brazil,it would be of no use to forbid law-abiding citizens to own legal registered guns in accordance to the law
1340,limit the right to bear arms ,Gun politics in Brazil,regions where gun ownership is widespread were the ones with the smallest number of gun-related deaths
1341,limit the right to bear arms ,Gun politics in Brazil,guns are dangerous for society
1342,limit the right to bear arms ,Gun politics in Brazil,their only reason to exist is to harm others
1343,limit the right to bear arms ,Gun politics in Brazil,guns are needed for personal security
1344,limit the right to bear arms ,Gun violence and gun control in Texas,gun control laws are effective in reducing gun-related accidents and crime
1345,limit the right to bear arms ,Gun violence and gun control in Texas,gun control laws are ineffective in reducing gun-related accidents and crime
1346,limit the right to bear arms ,Gun violence and gun control in Texas,the Second Amendment guarantees an individual's right to own a firearm
1347,limit the right to bear arms ,Gun violence and gun control in Texas,fewer restrictions on handguns will result in increasing numbers of injuries and deaths
1348,limit the right to bear arms ,Gun violence and gun control in Texas,Defensive use of guns is both common and effective in preventing injury and property loss
1349,limit the right to bear arms ,Gun violence and gun control in Texas,gun bans would increase injuries and deaths
1350,bribery is sometimes acceptable ,Bribery,Bribery in bureaucracy has been viewed as a reason for higher cost of production of goods and services
1351,bribery is sometimes acceptable ,Bribery,Expectations of when a monetary transaction is appropriate can differ from place to place
1352,bribery is sometimes acceptable ,Bribery,it encourages rent seeking behaviour
1353,bribery is sometimes acceptable ,Bribery,the bribery of government officials impedes the democratic process
1354,bribery is sometimes acceptable ,Bribery,may interfere with good government
1355,bribery is sometimes acceptable ,Bribery,"In some cases where the system of law is not well-implemented, bribes may be a way for companies to continue their businesses"
1356,bribery is sometimes acceptable ,Political corruption,Corruption poses a serious development challenge
1357,bribery is sometimes acceptable ,Political corruption,it undermines democracy and good governance
1358,bribery is sometimes acceptable ,Political corruption,corruption increases the cost of business
